License #,Name,Address,City,Zip,Phone #
1008132,STAINLESS AESTHETICS INC,P O BOX 38,BIGGS,95917,(530) 680-9894
995086,FOWLER METAL WORKS,12458 MORONI ROAD,MERIDIAN,95957,(530) 632-0780
850517,BERG JAMES M,P O BOX 252,GUINDA,95637,(530) 796-2141
923542,BUILTWARE FABRICATION INC,4569 SKYWAY DRIVE,OLIVEHURST,95961,(530) 634-0162
1036454,WEIDNERS WELDING,4433 SNOOK AVE,CLEARLAKE,95422,(707) 530-1349
1012002,DMIRON PLUS,P O BOX 368,KNIGHTS LANDING,95645,(530) 312-1314
994500,GIFFEN WELDING,P O BOX 3,MARYSVILLE,95901,(530) 701-1536
1098642,NEXT LEVEL WELDING,7307 DOC ADAMS RD,MARYSVILLE,95901,(530) 788-3372
1047530,KRYPTONITE METAL WORKS,P O BOX 6513,CHICO,95927,(530) 961-2104
1045579,UNIQ STEEL INC,417 STIMPSON RD,OROVILLE,95965,(530) 871-9300
934420,BALL RIG WELDING LLC,68 STUART CT,OROVILLE,95965,(530) 490-5795
1026973,THOMAS R WELDING,900 GREENWICH DR,CHICO,95926,(530) 320-4317
803951,STEEL-CRETE INC,1692 MANGROVE AVENUE #504,CHICO,95926,(530) 399-0032
1099525,DR WELDING,199 E WASHINGTON AVE,CHICO,95926,(530) 864-6661
976753,BAXTER WELDING & FABRICATION LLC,8 DORR LANE,OROVILLE,95966,(530) 282-6825
1036434,GARGES INDUSTRIAL WELDING,2561 PALM ST,NICOLAUS,95659,(530) 788-6993
1050734,CAST & CUSTOM WELDING,1870 NORWOOD DR,PARADISE,95969,(530) 228-4166
814834,HARKER'S WELDING,P O BOX 11,BROWNS VALLEY,95918,(916) 716-5556
1053297,MAVERICK WELDING,5923 MARYSVILLE RD,BROWNS VALLEY,95918,(530) 635-5655
1086204,OREGEL WELDING SERVICE CORP,17381 COUNTY RD 97,WOODLAND,95695,(530) 362-1049
795173,PERFORMANCE WELDING,P O BOX 663,PLEASANT GROVE,95668,(916) 225-2974
1062427,BW WELDING,428 BRETT COURT,CHICO,95973,(530) 519-3963
1053665,SHADOW FAB WELDING & FABRICATION,PO BOX 2192,WOODLAND,95776,(530) 237-6312
550297,WOODLAND WELDING WORKS,PO BOX 1194,WOODLAND,95776,(530) 666-5531
1081577,AUTHENTIC WELDING & FABRICATION,248 CHAMBERS DR,LINCOLN,95648,(530) 249-1875
1055068,FOX WELDING,3030 WISE ROAD,LINCOLN,95648,(541) 410-2137
1051925,ATLAS STEEL,PO BOX 442,LINCOLN,95648,(916) 884-4769
1005760,MC DOWELL J WELDING,P O BOX 1210,WINTERS,95694,(530) 661-6006
1084125,BOLES WELDING,1314 TEHAMA STREET,CORNING,96021,(530) 209-4161
522993,NEWMAN WELDING INC,17276 CATTLE DR,ROUGH AND READY,95975,(530) 432-3885
1010101,SMART MOBILE WELDING AND FABRICATION,8928 ORO QUINCY HIGHWAY,BERRY CREEK,95916,(530) 282-2366
1067032,ELITE WELDING AND MANUFACTURING INC,5098 FOOTHILLS BLVD STE 3-315,ROSEVILLE,95747,(262) 825-8290
1000931,MCCARTHY CUSTOM WELDING,1032 HAVERHILL STREET,WEST SACRAMENTO,95691,(530) 200-0449
1016574,LUCAS JOE WELDING,2994 SPRUCE WAY,WEST SACRAMENTO,95691,(916) 856-0214
423144,COBB MOUNTAIN ENGINEERING,4252 LAKESHORE BLVD,LAKEPORT,95453,(707) 355-0063
788201,S & V WELDING SERVICE,5908 20TH STREET,RIO LINDA,95673,(916) 871-5707
546057,STRUCTURE WELD,6828 7TH AVE,RIO LINDA,95673,(916) 256-8557
1040901,J D W WELDING,13814 GARDEN BAR RD,GRASS VALLEY,95949,(916) 806-4507
1068949,CTM WELDING FABRICATOR,12955 FRANCIS DRIVE,GRASS VALLEY,95949,(530) 559-3866
1033766,NAVARRO WELDING,2910 SACRAMENTO ST,NAPA,94558,(707) 666-5145
744958,OAKVILLE PUMP SERVICE INC,2310 LAUREL STREET SUITE 1,NAPA,94558,(707) 944-2471
897617,HOSS CUSTOM WELDING & FABRICATION,1248 TAMALPAIS STREET,NAPA,94558,(707) 815-3088
814859,QTCINC,4175 CINCINNATI AVENUE,ROCKLIN,95765,(916) 315-0500
909032,OGLETREE'S INC,935 VINTAGE AVENUE,ST HELENA,94574,(707) 963-3537
1075669,ROWLAND'S MOBILE WELDING,8045 PRIOR WAY,ANTELOPE,95843,(916) 370-2589
794204,DOLVER COMPANY INC,4936 PATROL ROAD,MC CLELLAN,95652,(916) 947-1122
1007595,ATLAS WELDCO,P O BOX 13,ROSEVILLE,95678,(916) 826-7415
685741,ED'S,PO BOX 1064,ROSEVILLE,95678,(916) 782-7421
918630,BARNETT'S PORTABLE WELDING SERVICE,3668 PLYMOUTH DRIVE,NORTH HIGHLANDS,95660,(916) 616-5288
994214,ANDERSEN ERIK WELDING,3608 MOUNTAIN VIEW DR,ROCKLIN,95677,(530) 798-8908
875132,S W S ENGINEERING AND CONSTRUCTION INC,3000 ASPEN DRIVE,PENRYN,95663,(916) 765-6800
1007366,HABBCO WELDING,4425 CALCUTTA WAY,SACRAMENTO,95842,(916) 880-6815
855966,C & T WELDING INC,P O BOX 258,NEWCASTLE,95658,(916) 663-1290
619989,KYLES PORTABLE WELDING,P O BOX 1195,NEWCASTLE,95658,(916) 956-9353
956935,EAGLE WELDING SERVICES INC,PO BOX 601554,SACRAMENTO,95860,(916) 600-8993
598348,ALASKA WELDING,5411 LEADER AVE,SACRAMENTO,95841,(805) 674-7639
